iter,rsq,rank,noise,N,b,k,pairs_avg,pairs_var,items_var,is_bibd
1,0.9774440967121061,FALSE,0.8901087259873748,1433,10,4,0.7692307692307693,0,0.07692307692307693,FALSE
2,0.9886222208037694,FALSE,1.176188668468967,1375,16,4,1,0.1798201798201798,0.07692307692307693,FALSE
3,0.9245323657827251,FALSE,1.311351531650871,782,11,3,0.4230769230769231,0,0.2692307692307692,FALSE
4,0.8370955146848885,FALSE,0.9017992096487433,1829,10,3,0.38461538461538464,0,0.23076923076923078,FALSE
5,0.9165988464521927,FALSE,1.205870882840827,892,11,3,0.4230769230769231,0,0.2692307692307692,FALSE
6,0.9964838551581524,TRUE,1.4770134333521128,1194,16,4,1,0.1798201798201798,0.07692307692307693,FALSE
7,0.964478204339726,FALSE,0.7931555123068392,1919,15,5,1,0.2017982017982018,0.19230769230769232,FALSE
8,0.9617263191779882,FALSE,1.1837767688557506,548,15,3,0.5769230769230769,0,0.2692307692307692,FALSE
9,0.9708020628324819,FALSE,0.9609357465524226,620,16,3,0.6153846153846154,0,0.23076923076923078,FALSE
10,0.9068953804354813,FALSE,0.5636453083716333,581,16,3,0.6153846153846154,0,0.23076923076923078,FALSE
11,0.9909097997061157,TRUE,1.158180437516421,1602,13,5,1,0.22510822510822512,0,FALSE
12,0.9728930113536068,FALSE,0.9876102670095861,1312,11,5,0.9871794871794872,0.3007518796992481,0.19230769230769232,FALSE
13,0.9968785730232727,TRUE,1.1940329228527844,1417,13,4,1,0,0,TRUE
14,0.920522445179242,FALSE,1.0424311766400933,1304,13,3,0.5,0,0,FALSE
15,0.9323281213356068,FALSE,1.4498403191100806,1260,10,3,0.38461538461538464,0,0.23076923076923078,FALSE
16,0.9589306850857523,FALSE,0.8739658570848405,446,16,3,0.6153846153846154,0,0.23076923076923078,FALSE
17,0.8916042948300407,FALSE,0.9702764041721821,1946,11,3,0.4230769230769231,0,0.2692307692307692,FALSE
18,0.9816185970914096,FALSE,1.0386968133971095,552,12,5,1,0.3036963036963037,0.2564102564102564,FALSE
19,0.95154563955905,FALSE,0.8555157382506877,1773,16,3,0.6153846153846154,0,0.23076923076923078,FALSE
20,0.9964326735263034,FALSE,1.1632444085553288,1282,13,4,1,0,0,TRUE
21,0.9869527259565103,FALSE,1.2868097585160285,1358,12,5,1,0.3036963036963037,0.2564102564102564,FALSE
22,0.9754646995612636,FALSE,1.496874526143074,1989,11,4,0.8333333333333334,0.015384615384615385,0.2564102564102564,FALSE
23,0.9529126168096247,FALSE,0.8224228273611516,997,15,3,0.5769230769230769,0,0.2692307692307692,FALSE
24,0.9125089032279087,FALSE,0.6474969515111297,1339,15,3,0.5769230769230769,0,0.2692307692307692,FALSE
25,0.9429126548414747,FALSE,1.079917050898075,1847,15,3,0.5769230769230769,0,0.2692307692307692,FALSE
