iter,rsq,rank,noise,N,b,items,is_bibd
1,0.9720944055284131,FALSE,0.9647533134557307,1876,15,18,FALSE
2,0.9940526008047645,FALSE,1.0483572171069682,1567,19,10,FALSE
3,0.991203155206345,FALSE,1.1752314078621566,362,20,17,FALSE
4,0.9927633312951828,TRUE,0.7239547546487302,746,20,11,FALSE
5,0.9621639178040765,FALSE,0.5791034097783267,884,17,17,FALSE
6,0.973792933090501,FALSE,1.0261471595149487,1885,17,18,FALSE
7,0.985201849727276,FALSE,0.7311001389753073,1810,15,12,FALSE
8,0.9764978593363667,FALSE,0.6800283160991967,1883,14,15,FALSE
9,0.9914715796407148,FALSE,0.7103792116977274,812,13,12,FALSE
10,0.9279308977764696,FALSE,1.0772395115345716,1401,9,16,FALSE
11,0.921809147359519,FALSE,0.5600081006996334,1326,11,16,FALSE
12,0.9764933625265725,FALSE,1.453131324145943,1303,19,20,FALSE
13,0.9632380691244602,FALSE,1.1921032196842134,302,15,18,FALSE
14,0.9885916468375135,FALSE,0.552825519349426,630,10,11,FALSE
15,0.9977571131316592,FALSE,0.8599888689350337,1059,13,10,FALSE
16,0.9923751696094945,FALSE,1.2547382358461618,507,16,13,FALSE
17,0.969795417757967,FALSE,1.177581892348826,1319,19,20,FALSE
18,0.9597559264143078,FALSE,1.380784904351458,312,15,19,FALSE
19,0.9088229102439493,FALSE,0.7068220009095967,957,10,18,FALSE
20,0.9804386830920341,FALSE,0.8888983009383082,1346,10,8,FALSE
21,0.9546113390209053,FALSE,1.078248979523778,984,8,17,FALSE
22,0.9949916535743776,FALSE,1.2013682280667126,779,14,12,FALSE
23,0.9433266409934369,FALSE,1.2943942009005696,645,11,20,FALSE
24,0.966398219803023,FALSE,0.6650260975584388,1779,13,14,FALSE
25,0.9516555086142124,TRUE,0.6922893442679197,1506,16,9,FALSE
26,0.9901997040622933,FALSE,0.8435727208852768,1107,13,13,TRUE
27,0.96516056727231,FALSE,1.2157411421649158,310,12,17,FALSE
28,0.9889028352052704,FALSE,0.615179862594232,722,19,17,FALSE
29,0.9829138079527665,FALSE,0.8658281248062849,1188,19,17,FALSE
30,0.9733326710434779,FALSE,0.7533563817851245,1911,11,12,FALSE
31,0.9830840243834216,FALSE,1.0689807082526386,1707,9,8,FALSE
32,0.9738908231255697,FALSE,0.7626791403163224,1488,8,11,FALSE
33,0.99826814711186,TRUE,1.2691459688358009,1829,16,8,FALSE
34,0.9986037692297798,TRUE,1.3592914671171457,603,15,8,FALSE
35,0.8784863405466008,FALSE,1.3171629675198346,1614,9,20,FALSE
36,0.9456065487622264,FALSE,0.7109460346400738,1485,15,19,FALSE
37,0.9919719408741965,FALSE,0.9090163721702993,765,17,11,FALSE
38,0.9416275868927316,FALSE,0.5120299768168479,629,8,10,FALSE
39,0.9455705660536481,FALSE,0.7555471803061664,1051,14,17,FALSE
40,0.9753867174635036,FALSE,1.1800764894578606,1998,8,12,FALSE
41,0.9783675140653482,FALSE,1.3035004870034754,1787,13,16,FALSE
42,0.9852017637439294,FALSE,0.6720171021297574,1902,17,14,FALSE
43,0.9618427266477497,FALSE,0.5014734901487827,650,14,8,TRUE
44,0.9954008340934486,FALSE,1.4678202944342047,1114,11,8,FALSE
45,0.9853110541389379,FALSE,1.011365479324013,1913,15,15,FALSE
46,0.9069833173642468,FALSE,1.4271957511082292,1929,12,20,FALSE
47,0.920626933273857,FALSE,1.3960389229469001,1412,8,16,FALSE
48,0.9847053685164793,TRUE,0.9546452790964395,1768,11,10,FALSE
49,0.9554597629809024,FALSE,1.4558419054374099,670,11,16,FALSE
50,0.9937855418890208,FALSE,1.0369412780273706,855,17,10,FALSE
51,0.989960090734649,FALSE,0.7162033307831734,1404,17,12,FALSE
52,0.9394435514170142,FALSE,0.8205290173646063,1673,14,17,FALSE
53,0.9642214451765486,TRUE,0.6921544312499464,1849,11,10,FALSE
54,0.9258145778353324,FALSE,0.7591155772097409,1444,9,16,FALSE
55,0.9776172005954439,FALSE,1.1789782287087291,699,9,11,FALSE
56,0.9156969559655483,FALSE,0.5881571359932423,741,9,9,FALSE
57,0.9891657969583644,FALSE,0.8508395797107369,1422,9,8,FALSE
58,0.9855335604475389,TRUE,0.9347363368142396,1167,11,9,FALSE
59,0.9986696447770489,TRUE,0.6288335751742125,788,18,9,TRUE
